Абакум (Абакумович, Абакумовна)
Абрам (Абрамович, Абрамовна)
Абросим (Абросимович, Абросимовна)
Аввакум (Аввакумович, Аввакумовна)
Август (Августович, Августовна)
Авдей (Авдеевич, Авдеевна)
Авдий (Авдиевич, Авдиевна)
Авенир (Авенирович, Авенировна)
Аверий (Авериевич, Авериевна)
Аверкий (Аверкиевич, Аверкиевна)
Аверьян (Аверьянович, Аверьяновна)
Авксентий (Авксентиевич, Авксентиевна)
Аврам (Аврамович, Аврамовна)
Агап (Агапович, Агаповна)
Агапий (Агапиевич, Агапиевна)
Агафон (Агафонович, Агафоновна)
Аггей (Аггеевич, Аггеевна)
Адам (Адамович, Адамовна)
Адриан (Адрианович, Адриановна)
Азар (Азарович, Азаровна)
Азарий (Азариевич, Азариевна)
Аким (Акимович, Акимовна)
Акинф (Акинфович, Акинфовна)
Акинфий (Акинфиевич, Акинфиевна)
Аксён (Аксёнович, Аксёновна)
Аксентий (Аксентиевич, Аксентиевна)
Александр (Александрович, Александровна)
Алексей (Алексеевич, Алексеевна)
Альберт (Альбертович, Альбертовна)
Альфред (Альфредович, Альфредовна)
Амвросий (Амвросиевич, Амвросиевна)
Амос (Амосович, Амосовна)
Ананий (Ананиевич, Ананиевна)
Анастасий (Анастасиевич, Анастасиевна)
Анатолий (Анатолиевич, Анатолиевна)
Андрей (Андреевич, Андреевна)
Андриан (Андрианович, Андриановна)
Андрон (Андронович, Андроновна)
Андроний (Андрониевич, Андрониевна)
Андроник (Андроникович, Андрониковна)
Аникей (Аникеевич, Аникеевна)
Аникий (Аникиевич, Аникиевна)
Анисий (Анисиевич, Анисиевна)
Анисим (Анисимович, Анисимовна)
Антип (Антипович, Антиповна)
Антипий (Антипиевич, Антипиевна)
Антон (Антонович, Антоновна)
Антонин (Антонинович, Антониновна)
Антроп (Антропович, Антроповна)
Антропий (Антропиевич, Антропиевна)
Ануфрий (Ануфриевич, Ануфриевна)
Аполлинарий (Аполлинариевич, Аполлинариевна)
Аполлон (Аполлонович, Аполлоновна)
Ардалион (Ардалионович, Ардалионовна)
Ардальон (Ардальонович, Ардальоновна)
Ареф (Арефович, Арефовна)
Арефий (Арефиевич, Арефиевна)
Аристарх (Аристархович, Аристарховна)
Аркадий (Аркадиевич, Аркадиевна)
Арнольд (Арнольдович, Арнольдовна)
Арон (Аронович, Ароновна)
Арсений (Арсениевич, Арсениевна)
Арсентий (Арсентиевич, Арсентиевна)
Артамон (Артамонович, Артамоновна)
Артём (Артёмович, Артёмовна)
Артемий (Артемиевич, Артемиевна)
Артур (Артурович, Артуровна)
Архип (Архипович, Архиповна)
Аскольд (Аскольдович, Аскольдовна)
Афанасий (Афанасиевич, Афанасиевна)
Афиноген (Афиногенович, Афиногеновна)
Бенедикт (Бенедиктович, Бенедиктовна)
Богдан (Богданович, Богдановна)
Болеслав (Болеславович, Болеславовна)
Бонифат (Бонифатович, Бонифатовна)
Бонифатий (Бонифатиевич, Бонифатиевна)
Борис (Борисович, Борисовна)
Вавила (Вавилич, Вавилична)
Вадим (Вадимович, Вадимовна)
Валентин (Валентинович, Валентиновна)
Валериан (Валерианович, Валериановна)
Валерьян (Валерьянович, Валерьяновна)
Валерий (Валериевич, Валериевна)
Варлам (Варламович, Варламовна)
Варламий (Варламиевич, Варламиевна)
Варсоноф (Варсонофович, Варсонофовна)
Варсонофий (Варсонофиевич, Варсонофиевна)
Варфоломей (Варфоломеевич, Варфоломеевна)
Василий (Васильевич, Васильевна)
Велимир (Велимирович, Велимировна)
Венедикт (Венедиктович, Венедиктовна)
Вениамин (Вениаминович, Вениаминовна)
Веньямин (Веньяминович, Веньяминовна)
Венцеслав (Венцеславович, Венцеславовна)
Викентий (Викентиевич, Викентиевна)
Виктор (Викторович, Викторовна)
Викторий (Викториевич, Викториевна)
Викторин (Викторинович, Викториновна)
Викул (Викулович, Викуловна)
Викула (Викулич, Викулична)
Вилен (Виленович, Виленовна)
Виленин (Виленинович, Вилениновна)
Вильгельм (Вильгельмович, Вильгельмовна)
Виссарион (Виссарионович, Виссарионовна)
Виталий (Виталиевич, Виталиевна)
Витольд (Витольдович, Витольдовна)
Владилен (Владиленович, Владиленовна)
Владимир (Владимирович, Владимировна)
Владислав (Владиславович, Владиславовна)
Владлен (Владленович, Владленовна)
Влас (Власович, Власовна)
Власий (Власиевич, Власиевна)
Вонифат (Вонифатович, Вонифатовна)
Вонифатий (Вонифатиевич, Вонифатиевна)
Всеволод (Всеволодович, Всеволодовна)
Вукол (Вуколович, Вуколовна)
Вячеслав (Вячеславович, Вячеславовна)
Гавриил (Гавриилович, Гаврииловна)
Гаврил, Гаврила (Гаврилович, Гавриловна)
Галактион (Галактионович, Галактионовна)
Гелий (Гелиевич, Гелиевна)
Геннадий (Геннадиевич, Геннадиевна)
Генрих (Генрихович, Генриховна)
Георгий (Георгиевич, Георгиевна)
Герасим (Герасимович, Герасимовна)
Герман (Германович, Германовна)
Гермоген (Гермогенович, Гермогеновна)
Глеб (Глебович, Глебовна)
Гордей (Гордеевич, Гордеевна)
Григорий (Григорьевич, Григорьевна)
Гурий (Гуриевич, Гуриевна)
Давид (Давидович, Давидовна)
Давыд (Давыдович, Давыдовна)
Даниил (Даниилович, Данииловна)
Данил, Данила (Данилович, Даниловна)
Дементий (Дементиевич, Дементиевна)
Демид (Демидович, Демидовна)
Демьян (Демьянович, Демьяновна)
Денис (Денисович, Денисовна)
Денисий (Денисиевич, Денисиевна)
Димитрий (Димитриевич, Димитриевна)
Диомид (Диомидович, Диомидовна)
Дионисий (Дионисиевич, Дионисиевна)
Дмитрий (Дмитриевич, Дмитриевна)
Донат (Донатович, Донатовна)
Доримедонт (Доримедонтович, Доримедонтовна)
Дормедонт (Дормедонтович, Дормедонтовна)
Дормидонт (Дормидонтович, Дормидонтовна)
Дорофей (Дорофеевич, Дорофеевна)
Евгений (Евгениевич, Евгениевна)
Евграф (Евграфович, Евграфовна)
Евграфий (Евграфьевич, Евграфьевна)
Евдоким (Евдокимович, Евдокимовна)
Евлампий (Евлампиевич, Евлампиевна)
Евмен (Евменович, Евменовна)
Евмений (Евмениевич, Евмениевна)
Евсей (Евсеевич, Евсеевна)
Евстафий (Евстафиевич, Евстафиевна)
Евстахий (Евстахиевич, Евстахиевна)
Евстигней (Евстигнеевич, Евстигнеевна)
Евстрат (Евстратович, Евстратовна)
Евстратий (Евстратиевич, Евстратиевна)
Евтихий (Евтихиевич, Евтихиевна)
Евфимий (Евфимиевич, Евфимиевна)
Егор (Егорович, Егоровна)
Егорий (Егориевич, Егориевна)
Елизар (Елизарович, Елизаровна)
Елисей (Елисеевич, Елисеевна)
Елистрат (Елистратович, Елистратовна)
Емельян (Емельянович, Емельяновна)
Епифан (Епифанович, Епифановна)
Епифаний (Епифаниевич, Епифаниевна)
Еремей (Еремеевич, Еремеевна)
